address,pointer
0x00009D94,08010201
0x00009DA0,08004881
0x00009DF0,08071300
0x00009E39,08010201
0x00009E86,08009e8a
0x00009E8A,08009ea9
0x00009E8F,08010100
0x00009EA9,08009eb8
0x00009EAE,08009f12
0x00009EB3,08009f2e
0x00009EB8,08009eb8
0x00009EBD,08000201
0x00009EDE,08009ef0
0x00009EF0,08009f01
0x00009F19,08020100
0x00009F34,0800b158
0x00009F3C,08010100
0x00009FE7,08009feb
0x00009FEB,0800a073
0x00009FEC,080800a0
0x0000A016,08040301
0x0000A04D,08007681
0x0000A078,08010100
0x0000A0AA,08007681
0x0000A0CC,08000201
0x0000A0FE,08006a81
0x0000A147,08007681
0x0000A179,08001f01
0x0000A1C4,08020100
0x0000A1D6,08010701
0x0000A21F,08007681
0x0000A264,08001f01
0x0000A299,08007681
0x0000A2FE,0800a302
0x0000A302,0800a5b8
0x0000A303,080800a5
0x0000A33E,08007681
0x0000A389,08007681
0x0000A3B3,08007681
0x0000A416,08040100
0x0000A43A,08007681
0x0000A489,08007681
0x0000A4DE,08007681
0x0000A508,08020100
0x0000A514,08007681
0x0000A53C,08007681
0x0000A54E,08007681
0x0000A58E,08040100
0x0000A5B8,0800ab76
0x0000A5BD,08000100
0x0000A5D9,08006a81
0x0000A62E,08007681
0x0000A671,08006a81
0x0000A6E2,08000201
0x0000A700,08007681
0x0000A73F,08001f01
0x0000A7A6,08000201
0x0000A7B4,08007681
0x0000A7D0,08007681
0x0000A87E,08007681
0x0000A88C,08007681
0x0000A8DD,08007681
0x0000A8EF,08000201
0x0000A928,08001f01
0x0000A94A,08007681
0x0000A958,08007681
0x0000A98F,08007681
0x0000A9A1,08020301
0x0000A9DE,08001f01
0x0000A9FC,08007681
0x0000AA0A,08007681
0x0000AAA5,08007681
0x0000AAB7,08001f01
0x0000AB02,08010100
0x0000AB2E,08007681
0x0000AB7B,08000300
0x0000ABA5,08007681
0x0000ABB5,08007681
0x0000ABEE,08007681
0x0000AC12,08007681
0x0000AC83,08010701
0x0000ACCE,08010300
0x0000AD13,08007681
0x0000AD37,08001f01
0x0000AD43,08007681
0x0000AD78,08020200
0x0000AD88,08020301
0x0000AD9A,08000100
0x0000ADEC,08000700
0x0000AE48,08030301
0x0000AE66,08020100
0x0000AEB4,08020100
0x0000AF00,08000700
0x0000AF2E,08007681
0x0000AF92,08010300
0x0000AFBE,08000201
0x0000AFE4,08000101
0x0000B037,08001f01
0x0000B069,08020101
0x0000B09D,08007681
0x0000B0AB,08006a81
0x0000B0D1,08006a81
0x0000B126,08007681
0x0000B160,08000700
0x0000B17C,08001f01
0x0000B19A,08007681
0x0000B1C0,08007681
0x0000B201,08007681
0x0000B22F,08007681
0x0000B290,08007681
0x0000B2E1,08007681
0x0000B340,08007681
0x0000B362,08007681
0x0000B392,08007681
0x0000B3D5,08007681
0x0000B424,08007681
0x0000B432,08007681
0x0000B493,08007681
0x0000B4EE,08007681
0x0000B537,08007681
0x0000B584,08000300
0x0000B5D5,08000700
0x0000B5F3,08007681
0x0000B601,08007681
0x0000B62F,08007681
0x0000B68E,08007681
0x0000B6D3,08007681
0x0000B6FF,08007681
0x0000B73A,08007681
0x0000B779,08007681
0x0000B799,08007681
0x0000B845,0800b899
0x0000B849,0800b849
0x0000B84A,080800b8
0x0000B899,0800bbf4
0x0000B89A,080800bb
0x0000B8BA,08006a81
0x0000B917,08007681
0x0000B966,08007681
0x0000B9A7,08000700
0x0000B9C7,08007681
0x0000BA0A,08007681
0x0000BA4F,08007681
0x0000BA9E,08007681
0x0000BB01,08000300
0x0000BB50,08000101
0x0000BB7C,08006a81
0x0000BBF9,08000700
0x0000BC4B,0800bc4f
0x0000BC52,080e0a00
0x0000BC9F,08007681
0x0000BCFA,08007681
0x0000BD55,08000300
0x0000BD6D,08007681
0x0000BD9D,08007681
0x0000BDF6,08000700
0x0000BE04,08007681
0x0000BE67,08007681
0x0000BE7B,08007681
0x0000BECA,08007681
0x0000BEDC,08010700
